字段1	字段2	字段3	字段4	字段5	字段6	字段7
标签	类型	问题	答案	提示	笔记	媒体
06-一次性特性	易错	为什么迭代器只能遍历一次？	迭代器像水管里的水流完就没了。list(cd) 第一次有数据第二次就是空[]。解决: 需要多次使用时转 list() 或分离 Iterable 和 Iterator	水流的比喻	分离设计可重复遍历
06-yield	基本概念	yield 关键字的三种用法？	①基本生成器替代手写迭代器 ②生成无限序列(惰性计算省内存) ③yield 作为数据接收者(协程 send())	生成器/无限序列/协程	含 yield 的函数返回生成器对象
06-send	进阶	使用 send() 前为什么必须先调用 next()?	send() 前生成器必须在 yield 处暂停等待接收值。next() 或 send(None) 让它执行到第一个 yield 并暂停	"启动"生成器	acc.send(10) 前要先 next(acc)
06-鸭子类型vsABCvsProtocol	基本概念	鸭子类型/ABC/Protocol 三者的区别？	鸭子类型: 运行时隐式检查灵活性最高; ABC: 显式继承运行时检查 IDE支持强; Protocol: 结构化子类型静态分析 IDE支持最强(Python 3.8+)	隐式/显式/静态分析	不同场景选不同方案
07-BigO	基本概念	常见时间复杂度从快到慢排序？	O(1) < O(log n) < O(n) < O(n log n) < O(n²) < O(2^n) < O(n!)	常数<对数<线性<线性对数<平方<指数<阶乘	算法效率的核心衡量标准
07-list复杂度	面试高频	list.append() 和 list.insert(0,x) 的复杂度？	append() 是 O(1)；insert(0,x) 是 O(n) 因为需要移动所有后续元素	O(1) vs O(n)	频繁头部操作用 deque
07-dict复杂度	面试高频	dict 字典操作的复杂度？	d[key] 设置获取删除都是 O(1) 平均（哈希映射）；key in d 也是 O(1) 远优于列表的 O(n)	平均 O(1)	哈希表原理
07-五大算法思想	基本概念	五大算法思想分别是什么？	穷举法(尝试所有可能)、贪婪法(每步最优)、分治法(分治合并)、回溯法(试探回退)、动态规划(记忆重叠子问题)	穷举/贪婪/分治/回溯/DP	每种思想对应经典问题
07-排序对比	基本概念	冒泡/选择/归并/快速排序的对比？	冒泡选择都是 O(n²)；归并稳定 O(n log n) 额外 O(n)；快速平均 O(n log n) 最坏 O(n²) 不稳定；Python 内置 Timsort 最优	实际用 sorted() 就好!	99% 场景不需要手写排序
07-LRU	经典题	LRU 缓存淘汰策略的原理？	OrderedDict 保持插入顺序；被访问的 move_to_end(key) 移到最后；超容量时 popitem(last=False) 弹出头部（最久未使用的）	最近最少使用淘汰	LeetCode 热门题目
08-GIL	基本概念	GIL 是什么？对多线程有什么影响？	GIL(Global Interpreter Lock)是 CPython 全局互斥锁，同一时刻只有一个线程执行字节码。IO密集型有效加速 CPU密集型不能并行需用多进程	IO加速 CPU不行	CPU 密集型用多进程
08-Lock	基本概念	Lock 和 RLock 的区别？	Lock 普通锁不可重入(同一线程多次 acquire 会死锁)；RLock 可重入锁同一线程可多次 acquire 必须匹配 release	可重入 vs 不可重入	一般场景 Lock 就够
08-Condition	易错	Condition 的 wait() 为什么必须用 while 不用 if？	防止虚假唤醒(Spurious Wakeup)。wait() 可能在没有 notify 的情况下返回如果用 if 就会跳过条件检查继续执行导致错误	虚假唤醒问题	while-not-if 是并发编程铁律
08-Semaphore	基本概念	Semaphore 的用途？	限制同时运行的线程数量。初始化 Semaphore(n) 表示最多 n 个线程同时访问。适用于连接池限流等场景	控制并发数	类似停车场的车位
08-ThreadPoolExecutor	基本概念	concurrent.futures.ThreadPoolExecutor 的用法？	with ThreadPoolExecutor(max_workers=n) as executor: future = executor.submit(func, *args) 或 executor.map(func, iterable)	线程池自动管理	推荐方式不要手动 Thread
08-multiprocessing	基本概念	多进程如何绕过 GIL？	multiprocessing 模块每个进程有独立的 Python 解释器和内存空间真正并行执行。通过 Queue/Pipe/Manager 进行进程间通信 IPC	独立解释器+IPC	CPU 密集型任务首选
08-async-await	基本概念	async/await 的适用场景？	高并发 IO 密集型任务（大量网络请求/数据库查询）。单线程事件循环调度协程切换在 IO 等待时自动让出执行权	异步 IO 高并发	aiohttp 库实战
08-选型指南	总结	三种并发方式的选型指南？	IO 密集少量任务: 多线程简单够用；IO 密集大量任务: async/aiohttp 最高效；CPU 密集型任务: 多进程绕过 GIL；混合任务: 多进程+多线程组合	按任务类型选择	不要盲目用多线程
